day,sales
23/12/2016,774
24/12/2016,678
25/12/2016,709
26/12/2016,889
27/12/2016,924
28/12/2016,970
29/12/2016,910
30/12/2016,833
31/12/2016,608
01/01/2017,652
02/01/2017,916
03/01/2017,917
04/01/2017,981
05/01/2017,871
06/01/2017,842
07/01/2017,797
08/01/2017,788
09/01/2017,876
10/01/2017,954
11/01/2017,904
12/01/2017,1043
13/01/2017,948
14/01/2017,813
15/01/2017,996
16/01/2017,1081
17/01/2017,1147
18/01/2017,1124
19/01/2017,1057
20/01/2017,920
21/01/2017,948
22/01/2017,1016
23/01/2017,1195
24/01/2017,1216
25/01/2017,1207
26/01/2017,1168
27/01/2017,926
28/01/2017,1045
29/01/2017,1029
30/01/2017,1205
31/01/2017,1213
01/02/2017,1229
02/02/2017,1211
03/02/2017,1105
04/02/2017,889
05/02/2017,1122
06/02/2017,1221
07/02/2017,1173
08/02/2017,1155
09/02/2017,1113
10/02/2017,1017
11/02/2017,979
12/02/2017,1130
13/02/2017,1166
14/02/2017,1088
15/02/2017,1145
16/02/2017,1191
17/02/2017,1057
18/02/2017,1133
19/02/2017,1167
20/02/2017,1287
21/02/2017,1305
22/02/2017,1180
23/02/2017,1192
24/02/2017,1142
25/02/2017,960
26/02/2017,1024
27/02/2017,1089
28/02/2017,1145
01/03/2017,1137
02/03/2017,1194
03/03/2017,1019
04/03/2017,1011
05/03/2017,1004
06/03/2017,1108
07/03/2017,1115
08/03/2017,1181
09/03/2017,1196
10/03/2017,1025
11/03/2017,1033
12/03/2017,1008
13/03/2017,1141
14/03/2017,1226
15/03/2017,1250
16/03/2017,1185
17/03/2017,1117
18/03/2017,1070
19/03/2017,1136
20/03/2017,1045
21/03/2017,1277
22/03/2017,1151
23/03/2017,1184
24/03/2017,988
25/03/2017,938
26/03/2017,1208
27/03/2017,1224
28/03/2017,1177
29/03/2017,1131
30/03/2017,1115
31/03/2017,1054
01/04/2017,1050
02/04/2017,1109
03/04/2017,1126
04/04/2017,1149
05/04/2017,1149
06/04/2017,1169
07/04/2017,1044
08/04/2017,838
09/04/2017,986
10/04/2017,1133
11/04/2017,1162
12/04/2017,1073
13/04/2017,1006
14/04/2017,936
15/04/2017,831
16/04/2017,873
17/04/2017,1086
18/04/2017,1118
19/04/2017,1087
20/04/2017,1113
21/04/2017,994
22/04/2017,883
23/04/2017,955
24/04/2017,1137
25/04/2017,1122
26/04/2017,1297
27/04/2017,1086
28/04/2017,922
29/04/2017,845
30/04/2017,784
01/05/2017,1121
02/05/2017,998
03/05/2017,1087
04/05/2017,1037
05/05/2017,1002
06/05/2017,876
07/05/2017,932
08/05/2017,1022
09/05/2017,1108
10/05/2017,1090
11/05/2017,1023
12/05/2017,1023
13/05/2017,805
14/05/2017,882
15/05/2017,1030
16/05/2017,996
17/05/2017,1016
18/05/2017,1020
19/05/2017,977
20/05/2017,803
21/05/2017,861
22/05/2017,1083
23/05/2017,1009
24/05/2017,1041
25/05/2017,1068
26/05/2017,940
27/05/2017,866
28/05/2017,862
29/05/2017,944
30/05/2017,1062
31/05/2017,1075
01/06/2017,1000
02/06/2017,884
03/06/2017,828
04/06/2017,886
05/06/2017,1075
06/06/2017,1015
07/06/2017,1060
08/06/2017,1050
09/06/2017,901
10/06/2017,766
11/06/2017,930
12/06/2017,998
13/06/2017,878
14/06/2017,1020
15/06/2017,933
16/06/2017,798
17/06/2017,793
18/06/2017,820
19/06/2017,995
20/06/2017,922
21/06/2017,936
22/06/2017,885
23/06/2017,810
24/06/2017,747
25/06/2017,776
26/06/2017,888
27/06/2017,978
28/06/2017,910
29/06/2017,907
30/06/2017,747
01/07/2017,638
02/07/2017,767
03/07/2017,864
04/07/2017,932
05/07/2017,937
06/07/2017,939
07/07/2017,803
08/07/2017,700
09/07/2017,845
10/07/2017,942
11/07/2017,1108
12/07/2017,1102
13/07/2017,997
14/07/2017,903
15/07/2017,734
16/07/2017,853
17/07/2017,1082
18/07/2017,1100
19/07/2017,1162
20/07/2017,1142
21/07/2017,923
22/07/2017,740
23/07/2017,848
24/07/2017,918
25/07/2017,1005
26/07/2017,1038
27/07/2017,999
28/07/2017,877
29/07/2017,802
30/07/2017,901
31/07/2017,1129
01/08/2017,1111
02/08/2017,1027
03/08/2017,1105
04/08/2017,994
05/08/2017,848
06/08/2017,890
07/08/2017,1099
08/08/2017,1159
09/08/2017,1227
10/08/2017,1200
11/08/2017,1018
12/08/2017,879
13/08/2017,1022
14/08/2017,1123
15/08/2017,1042
16/08/2017,1187
17/08/2017,1175
18/08/2017,1072
19/08/2017,941
20/08/2017,1008
21/08/2017,1090
22/08/2017,1283
23/08/2017,1148
24/08/2017,1116
25/08/2017,1013
26/08/2017,949
27/08/2017,1012
28/08/2017,1234
29/08/2017,1196
30/08/2017,1223
31/08/2017,1127
01/09/2017,964
02/09/2017,900
03/09/2017,985
04/09/2017,1240
05/09/2017,1309
06/09/2017,1311
07/09/2017,1389
08/09/2017,1146
09/09/2017,1033
10/09/2017,1066
11/09/2017,1357
12/09/2017,1301
13/09/2017,1344
14/09/2017,1374
15/09/2017,1318
16/09/2017,1147
17/09/2017,1261
18/09/2017,1357
19/09/2017,1388
20/09/2017,1427
21/09/2017,1379
22/09/2017,1179
23/09/2017,1099
24/09/2017,1255
25/09/2017,1327
26/09/2017,1422
27/09/2017,1490
28/09/2017,1261
29/09/2017,1182
30/09/2017,1074
01/10/2017,1241
02/10/2017,1377
03/10/2017,1530
04/10/2017,1492
05/10/2017,1523
06/10/2017,1351
07/10/2017,1351
08/10/2017,1457
09/10/2017,1637
10/10/2017,1576
11/10/2017,1417
12/10/2017,1439
13/10/2017,1219
14/10/2017,1185
15/10/2017,1216
16/10/2017,1442
17/10/2017,1399
18/10/2017,1282
19/10/2017,1288
20/10/2017,1208
21/10/2017,997
22/10/2017,1339
23/10/2017,1487
24/10/2017,1522
25/10/2017,1465
26/10/2017,1325
27/10/2017,1224
28/10/2017,1099
29/10/2017,1233
30/10/2017,1349
31/10/2017,1335
01/11/2017,1431
02/11/2017,1302
03/11/2017,1220
04/11/2017,1165
05/11/2017,1345
06/11/2017,1450
07/11/2017,1491
08/11/2017,1702
09/11/2017,1522
10/11/2017,1320
11/11/2017,1220
12/11/2017,1505
13/11/2017,1490
14/11/2017,1690
15/11/2017,1648
16/11/2017,1406
17/11/2017,1332
18/11/2017,1197
19/11/2017,1354
20/11/2017,1425
21/11/2017,1469
22/11/2017,1475
23/11/2017,1318
24/11/2017,1126
25/11/2017,1034
26/11/2017,1245
27/11/2017,1344
28/11/2017,1305
29/11/2017,1298
30/11/2017,1147
01/12/2017,1077
02/12/2017,987
03/12/2017,1187
04/12/2017,1346
05/12/2017,1300
06/12/2017,1288
07/12/2017,1205
08/12/2017,968
09/12/2017,935
10/12/2017,1084
11/12/2017,1252
12/12/2017,1209
13/12/2017,1255
14/12/2017,1230
15/12/2017,1046
16/12/2017,858
17/12/2017,1130
18/12/2017,1111
19/12/2017,1046
20/12/2017,1122
21/12/2017,1020
22/12/2017,831
23/12/2017,714
24/12/2017,709
25/12/2017,795
26/12/2017,1036
27/12/2017,987
28/12/2017,928
29/12/2017,820
30/12/2017,754
31/12/2017,608
01/01/2018,725
02/01/2018,1011
03/01/2018,1149
04/01/2018,1087
05/01/2018,965
06/01/2018,871
07/01/2018,1072
08/01/2018,1132
09/01/2018,1244
10/01/2018,1224
11/01/2018,1222
12/01/2018,1250
13/01/2018,1156
14/01/2018,1136
15/01/2018,1171
16/01/2018,1308
17/01/2018,1469
18/01/2018,1430
19/01/2018,1258
20/01/2018,1146
21/01/2018,1337
22/01/2018,1410
23/01/2018,1481
24/01/2018,1325
25/01/2018,1342
26/01/2018,1205
27/01/2018,1049
28/01/2018,1452
29/01/2018,1973
